tweet_no	text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1	Препоръките към държавите-членки в рамките на пролетния пакет на #EuropeanSemester са фокусирани върху осигуряване на координирани действия в отговор на пандемията от COVID19 ➡ https://t.co/OO6k2v0WWZ Основните акценти са два 👇 https://t.co/OTFUztedeP	no	nan	nan	nan	nan	no	no
2	За тия, дет си мислят, че няма вирус https://t.co/bV1O5PwM5u	no	nan	nan	nan	nan	no	no
3	Отменят се част от противоепидемичните мерки, въведени заради COVID-19 у нас https://t.co/3lps5rrwQN	yes	no	yes	no	no	no	no
4	Oпазването на биоразнообразието 🦋🐅🐘🌴 остава приоритет и за външната дейност на ЕС 🇪🇺. Отделяме6⃣ млн. евро в помощ на опазването на застрашени видове в държави от Африка, Карибския регион и Тихия океан, силно засегнати от пандемията #coronavirus. ➡ https://t.co/SpP9ljubt7 https://t.co/07I0TnBSfz	yes	no	yes	no	no	no	no
5	Кратък обзор над мерките в сградостроителството взети в Хонг Конг след SARS през 2003 и промените в урбанизацията при предишни чуми. https://t.co/2Upr2Wc0Bw	no	nan	nan	nan	nan	no	no
6	👏 Държавите-членки се споразумяха за техническа съвместимост между приложенияta за последяване на контактите 📲 срещу разпространението на #coronavirus. 🚉🏖🛣 Още една стъпка към свободното и безопасно пътуване в ЕС! ➡ https://t.co/soLpRuRgGy #EUtourism https://t.co/OD5iJoX7Iq	yes	no	yes	no	no	no	yes
7	Нова платформа за споделяне на добри практики от сектора на спорта свързва представители от министерствата на спорта във всички държави членки. 🥎🏊‍🏸⚽🤸‍ Проектът е стартиран от комисар @GabrielMariya и цели по-бързо възстановяване на сектора от кризата с #COVID19! https://t.co/pCZXKEXfqm	no	nan	nan	nan	nan	no	no
8	80% от активните фармацевтични съставки и 40% от готовите лекарства, които се продават в Европа, се произвеждат в Китай и Индия. Това е сред факторите, повишаващи риска от липси. ЕП предлага насърчаване на производството в Европа: https://t.co/CxyTWR57y0 #ЕвропаСрещуCOVID19 https://t.co/oA86Kd1pZe	yes	no	yes	no	no	no	no
9	#WeekendRead За разпространeнието на #COVID19 и реалния ефект от социалното дистанциране 👉 Научен поглед от @HorizonMagEU 👇 (да се чете от вкъщи 🏡! ) https://t.co/UmmY8AwdwM	no	nan	nan	nan	nan	no	no
10	#ЕвропаСрещуCOVID19 Независимо от ограниченията, можем да окажем значителна помощ на хора по предните линии на борбата с пандемията. Сара от Мадрид е учителка, но е решила да помогне на здравните работници в Испания, като изработва маски в дома си: https://t.co/pQYGM461ZG https://t.co/gorkO9CmXV	no	nan	nan	nan	nan	no	no
11	Единната интегрална природа все повече ни се разкрива и затова се усещаме в падение, все повече несъответстващи на единната природа. Нейната реакция на несъответствието са катаклизми и вируси. Но това не е наказание а стремеж да ни уравновеси нас с природата! М. Лайтман #covid19	no	nan	nan	nan	nan	no	no
12	Според изследване, #COVID19 оцелява до 3 часа в аерозоли във въздуха, до 24 часа на хартиена и около 2-3 дни на стоманена или пластмасова повърхност. https://t.co/DTTDwfwV7x	yes	no	yes	no	yes	no	no
13	Новината, че са открили Covid-19 в сперма трудно ще се преглътне от някои.	no	nan	nan	nan	nan	no	no
14	Хубаво е във всеки урок да участват технологии - Даниела Попова е преподавател по музика СУ “Св. Патриарх Евтимий” гр.Пловдив: https://t.co/rwKEc6Q989 #COVID19 #GoogleClassroom #KarafunStudio #MicrosoftTeams #Office365 #БАИТ https://t.co/deGb2tZhld	no	nan	nan	nan	nan	no	no
15	В интервю за ТВ Европа посланик @frobine говори за впечатленията си от 🇧🇬, отговора на кризата с #Covid19 във 🇫🇷 и 🇪🇺 и връзките между дипломацията и науката. 👉 https://t.co/E5lHUAX4yH https://t.co/iv2ybbftwP	no	nan	nan	nan	nan	no	no
16	🎙️👨‍💻Марио Пешев, Изпълнителен Директор и WordPress Architect на @wpdevrix ще вземе участие в дискусията „ИТ секторът в режим COVID-19″ - част 2: https://t.co/KyCvMlBC9Y @no_fear_inc, #TechInfluencer, #Developer, #Manager, #ITIndustry, #Business, #Software, #Architect, #WordPress https://t.co/GyxkJ5pKcd	no	nan	nan	nan	nan	no	no
17	Хубавото е, че ситуацията около COVID-19 преброи тъпаците в държавата. Лошото е, че не са никак малко	no	nan	nan	nan	nan	no	no
18	Знам, че и вие имате нужда от добри новини, соу https://t.co/UaDeOK6La7	no	nan	nan	nan	nan	no	no
19	Кратко казано: #COVID #кризата трябва да е задължителна част от анализа на #ПакетМобилност. Транспортът на #ЕС утре няма да е същият, а днес хвалим #ЗелениКоридори и спорим колко често да се връщат празни камиони. За здрава икономика трябва здрав разум.	no	nan	nan	nan	nan	no	nan
20	#ЕвропаСрещуCOVID19 В първите дни от извънредното положение Националният младежки форум започна кампанията #ВремеЗаТеб и организира серия от безплатни уебинари, които да помогнат на младежи да усъвършенстват уменията и компетентностите си, докато са вкъщи: https://t.co/sxkjHuiAoc https://t.co/sTYQRKTgnn	no	nan	nan	nan	nan	no	no
21	💬 @eurofound е агенцията на ЕС за подобряване на социалните политики и политиките по заетостта. Участвайте в проучването им за ефекта, който промените във връзка с #coronavirus имат върху живота ви. ⌛ Отнема 10 мин. 👉 https://t.co/baXi7X35Tb #COVID19 https://t.co/qUW9riUCiy	no	nan	nan	nan	nan	no	no
22	Антиваксери на апарати. Буквално ! https://t.co/q1zvQT8jb0	no	nan	nan	nan	nan	no	no
23	5 съвета за маските и коронавируса от Световната здравна организация. #WorldHealthOrganization #coronavirus #COVID19 https://t.co/XBFsvIFpxN	yes	no	yes	no	no	no	no
24	Чернобил - 1986 г. Купонната с-ма - 1990 г. Краха на СССР - 1991 г. Голямата инфлация - 1996 г. BSE - 2007 г. Н5N1 - 2007 г. H1N1 - 2009 г. Фукушима - 2011 г. Ебола - 2014 г. COVID-19 - 2020 г.	no	nan	nan	nan	nan	no	no
25	THE BIG CHANGE: Covid-19 и климатичната криза Очакваме ви на втората ни онлайн дискусия, посветена промяната в света след коронавируса: на 29 април ще си говорим за COVID-19 и климатичните промени. #movebg #editbg #climatechange #webinar #society #CHANGE https://t.co/v1oZHHzToZ	no	nan	nan	nan	nan	no	no
26	Пиратството процъфтява на държавно ниво https://t.co/Q4Dvelqr6d	no	nan	nan	nan	nan	no	no
27	Служителите в хранителните магазини останаха на работните си места по време на разгара на кризата с коронавируса. Ванеса, която работи в хранителна верига, разказа за предизвикателствата, но и уроците по време на кризата: https://t.co/gYpUY5Hk7N #ЕвропаСрещуCOVID19	no	nan	nan	nan	nan	no	no
28	Това, че вече има потвърден COVID-19 в БГ не променя ситуацията с много. Беше ясно, че няма как да останем встрани и че е въпрос на време да се открият. Но поне слага край на двете безумни теории: има, но ги крият и няма заради аурата на Б.Б..	no	nan	nan	nan	nan	no	no
